filename,transcription,processed
P1,opino que el uso de las redes sociales en mi vida diaria es muy importante Ya que nos mantiene informados y conectados de todo lo que pasa día con día.,opino uso red social vida diario importante mantener informado conectado pasar día día
P2,Yo opino que el tiempo que la gente pasa en redes sociales muchas veces es excesivo ya que los mismos algoritmos de las redes te hacen que pases mucho tiempo observando cosas que a lo mejor son innecesarias.,opino tiempo gente pasar red social mucho vez excesivo mismo algoritmo red hacer pase tiempo observar cosa mejor innecesario
P3,el celular me resulta muy útil en mis actividades diarias ya que con él hago todas las cosas importantes que va desde revisar la hora el clima entre otras actividades .,celular resultar útil actividad diario hacer todo cosa importante ir revisar hora clima actividad
P4,estoy muy satisfecho con las plataformas digitales que uso para estudiar ya que Considero que están bien optimizadas y que muchas veces son gratuitas lo que lo hace un paso muy importante para seguir aprendiendo.,satisfecho plataforma digital uso estudiar considero bien optimizada mucho vez gratuito hacer paso importante seguir aprender
P5,como ventajas del uso de redes sociales entre los jóvenes pues se podría destacar que es muy fácil obtener acceso a la información es sumamente rápido pero como desventaja podría incluir ahí lo que es el consumo excesivo de tiempo que este le quita a los jóvenes .,ventaja uso red social joven pues poder destacar fácil obtener acceso información sumamente rápido desventajar poder incluir ahí consumo excesivo tiempo quitar joven
P6,Bueno yo opino que el Internet es muy importante Ya que con él podemos acceder a la información muy rápidamente y en cualquier lugar del mundo prácticamente.,bueno opino internet importante poder acceder información rápidamente cualquiera lugar mundo prácticamente
P7,el uso del celular es muy importante Ya que es una excelente herramienta que nos ayuda en el aprendizaje y nos ayuda a facilitándonos en los temas que tenemos que investigar.,uso celular importante excelente herramienta ayudo aprendizaje ayuda facilitándonos tema investigar
P8,que está muy bien la forma en que las personas usan su celular en lugares públicos .,bien formar persona usar celular lugar público
P9,regularmente se me hace muy fácil adaptar una nuevas tecnologías ya que muchas veces estos ya están optimizadas y te facilitan mucho las cosas.,regularmente hacer fácil adaptar nuevo tecnología mucho vez optimizada facilitar cosa
P10,Considero que la tecnología es muy útil para resolver problemas de la vida cotidiana ya que muchas veces nos facilitan las cosas.,considerar tecnología útil resolver problema vida cotidiano mucho vez facilitar cosa
P1,opino que las redes sociales influyen mucho ya que le damos un mal uso Aunque sí lo vemos del otro lado si nos ayudan a obtener información relevante .,opino red social influir dar mal uso aunque ver lado si ayudar obtener información relevante
P2,En mi opinión las personas pasan mucho tiempo en redes sociales tiempo que podrían implementar en otras actividades.,opinión persona pasar tiempo red social tiempo poder implementar actividad
P3,parecer es muy útil ya que nos permite tener comunicación con nuestros familiares o igual lo podíamos utilizar para investigar algo.,parecer útil permitir tener comunicación familiar igual poder utilizar investigar
P4,estoy muy satisfecha ya que he encontrado la información que he querido.,satisfecho encontrado información querido
P5,en ventajas podrías estar informado más rápido y desventajas es que se puede obtener una información corrupta.,ventaja podría informado rápido desventaja poder obtener información corrupto
P6,el uso de internet Me parece algo muy bueno ya que podrías informarte más rápido que en la televisión quizá las noticias lleguen más tarde.,uso internet parecer bueno podría informartar rápido televisión quizá noticia llegar tarde
P7,todo depende de cada uno de los alumnos si le das buen uso si no pues te podría traer consecuencias.,depender cada alumno si dar buen uso si pues poder traer consecuencia
P8,mi opinión sobre utilizar el celular en lugares públicos está todo bien Solo que si si le faltas al respeto a una persona creo que ya no es conveniente.,opinión utilizar celular lugar público bien solo si si falta respetar persón creer conveniente
P9,creo que hay aplicaciones o tecnologías que son muy muy fácil de aprender o de adaptarse Pero hay otras que sí son más complicadas.,creer aplicación tecnología fácil aprender adaptar él complicado
P10,es muy útil utilizar tecnologías ya que nos pueden ayudar a resolver problemas cotidianos .,útil utilizar tecnología poder ayudar resolver problema cotidiano
P1,Yo opino que es depende el uso que se da puede ser ya sea bien para motivos informativos o mal ya sea para días perder el tiempo nada más .,opino depender uso dar poder ser bien motivo informativo mal día perder tiempo
P2,puedo pensar que sería este un poco excesiva debe ser este ya sea moderada ya sino excesiva este se estaría perdiendo un poco de tiempo .,poder pensar excesivo deber ser moderar sino excesivo perder tiempo
P3,me resulta muy útil yo uso para llevar mi control de tareas o voy a comunicación entre mis amigos y mis familiares .,resultar útil uso llevar control tareas voy comunicación amigo familiar
P4,Yo pienso que estoy muy satisfecho ya que es muy útil a comparación de métodos convencionales ya que te permite llevar un control más detallado de tu aprendizaje.,pensar satisfecho útil comparación método convencional permitir llevar control detallado aprendizaje
P5,las ventajas en pocas palabras sería buen uso de información de compartimiento de información y las desventajas Pues sería lo contrario de compartir falsa información o información que puede dañar a alguien.,ventaja poco palabra buen uso información compartimiento información desventaja pues contrario compartir falso información información poder dañar alguien
P6,Yo pienso que está muy bien solamente hay que revisar la fiabilidad de la fuente en la que estás buscando Pero además de todo eso buscar en internet te permite ver más opciones de lo que estás buscando .,pensar bien solamente revisar fiabilidad fuente buscar además buscar internet permitir ver opción buscar
P7,Yo pienso que está muy bien solamente que teníamos que enfocarlo específicamente para la escuela ya que hay muchas declaraciones en el mismo teléfono.,pensar bien solamente enfocar él específicamente escuela mucho declaración mismo teléfono
P8,Yo pienso que pues no está mal solamente hay que avisar que no sea como una distracción para ti de que ya sea nube al público te distraigas de algo importante que esté pasando en el momento .,pensar pues mal solamente avisar distracción nube público distraigas importante pasar momento
P9,en estos momentos un sería un poco difícil ya que de Inteligencia artificial Hay demasiadas aplicaciones que van saliendo en cada momento y es difícil revisar todas.,momento difícil inteligencia artificial demasiado aplicación ir salir cada momento difícil revisar todo
P10,Yo pienso que es algo indispensable ya usar este tecnologías para esos tipos de problemas ya que automatizan la gran parte de trabajo.,pensar indispensable usar tecnología tipo problema automatizar gran parte trabajo
P1,opino que el uso de las redes sociales A diferencia de antes ahora es una forma muy simple Por así decirlo y para todas las personas de hoy es muy común usar redes sociales .,opino uso red social diferenciar ahora forma simple así decir él todo persona hoy común usar red social
P2,Me parece alarmante que a diferencia de antes las personas de ahora inviertas más tiempo en redes sociales especialmente ancianos de mediana edad o edad superior que antes no invertían tanto tiempo como los jóvenes Pero ahora sí .,parecer alarmante diferenciar persona ahora invierta tiempo red social especialmente anciano mediano edad edad superior invertir tiempo joven ahora
P3,como herramientas demasiado útil ya que me permite trazar mis Rutas para viajar de un lado a otro o hacer recordatorios o simplemente escuchar música desde la tarea más sencilla la tarea más difícil me parece una muy buena herramienta.,herramienta demasiado útil permitir trazar ruta viajar lado hacer recordatorio simplemente escuchar música tarea sencillo tarea difícil parecer buen herramienta
P4,estoy un poco satisfecho Considero que las aplicaciones para estudiar O para los estudiantes deberían ser actualizadas a las tecnologías más actuales y no quedarse con lo que eran hace tiempo .,satisfecho considerar aplicación estudiar estudiante deber ser actualizar tecnología actual quedar él hacer tiempo
P5,las desventajas que veo es que los jóvenes invierten demasiado tiempo en las redes sociales olvidando sus obligaciones del día a día me incluyo entre ellos y Considero que deberíamos regular el uso de redes sociales.,desventaja ver joven invertir demasiado tiempo red social olvidar obligación día día incluyo  considerar debeer regular uso red social
P6,Considero que es una muy buena forma para mantenerse informado A diferencia de antes las personas de hoy quiero pensar que ya son más conscientes y no caen tan fácilmente en noticias falsas como lo era antes entonces me parece una muy buena forma de mantenerse enterados de lo que sucede.,considerar buen forma mantener él informado diferencia persona hoy querer pensar consciente caer tanto fácilmente noticia falso entonces parecer buen forma mantener él enterado suceder
P7,Considero que debería dejar de considerarse que es algo malo con la tutoría correcta y la instrucción perfecta a los jóvenes ellos podrían utilizarlo como una forma muy podríamos decir como una herramienta para sus estudios.,considerar deber dejar considerar él malo tutoer correcto instrucción perfecto joven poder utilizar él forma poder decir herramienta estudio
P8,Considero que está bien siempre y cuando no invadan la privacidad de otras personas por ejemplo tomándoles fotos o reproduciendo música muy fuerte todo estará bien.,considerar bien siempre invadar privacidad persona ejemplo tomándol foto reproducir música fuerte bien
P9,A diferencia de antes este ahora me es muy fácil adaptarme a las tecnologías Ya que en cualquier sitio puedes encontrar información sobre cómo utilizarlas ya sea en videos utilizando inteligencia artificiales o preguntándole a conocidos .,diferenciar ahora fácil adaptarme tecnología cualquiera sitio poder encontrar información cómo utilizar él video utilizar inteligencia artificial preguntar él conocido
P10,Considero que es una maravilla porque te ayuda a optimizar demasiado tu tiempo y además gastas menos recursos a recursos me refiero a esfuerzo físico y mental te ayuda a optimizar bastante tus tareas diarias y escolares.,considerar maravilla ayudo optimizar demasiado tiempo además gasta menos recurso recurso refiero esfuerzo físico mental ayuda optimizar bastante tarea diario escolar
P1,pensó que las redes sociales forman parte pues esencial de nuestra vida diaria vida cotidiana Pues nos ayudan a documentar nuestros Bueno lo que hacemos en el día y nos ayuda a interactuar con personas pues fuera de nuestros círculo social también.,pensar red social formar parte pues esencial vida diario vida cotidiano pues ayudar documentar bueno hacer día ayuda interactuar persona pues círculo social
P2,y pues es muy dependiente de la persona pero creo que pues la gran mayoría de gente pasa un tiempo pues considerado excesivo en redes sociales al punto que pues se vuelve poco sano para nosotros.,pues dependiente persona creer pues gran mayoría gente pasar tiempo pues considerar excesivo red social punto pues volver sano
P3,Pues el celular me resulta muy útil pues ahí tengo la mayoría de mi información de las cosas que tengo que hacer en Pues en la semana en el día en el mes me ayuda a mantenerme en contacto con personas que pues no tengo cerca de mí Y pues es un gran fuente de diversión No pues Ah de diversión o retroalimentación.,pues celular resultar útil pues ahí mayoer información cosa hacer pues semana día mes ayuda mantener yo contacto persona pues cerca pues gran fuente diversión pues ah diversión retroalimentación
P4,y pues yo me siento muy satisfecha con dichas plataformas digitales para brindar información accesible fácil de entender fácil de digerir sin necesidad de Pues que puede ser estar buscando en librerías o buscando pues libros que pueden ser de difícil acceso económico y pues yo me siento muy satisfecha con dichas plataformas digitales para brindar información accesible fácil de entender fácil de digerir sin necesidad de Pues que puede ser estar buscando en librerías o buscando pues libros que pueden ser de difícil acceso económico.,pues sentir satisfecho dicho plataforma digital brindar información accesible fácil entender fácil digerir necesidad pues poder ser buscar librería buscar pues libro poder ser difícil acceso económico pues sentir satisfecho dicho plataforma digital brindar información accesible fácil entender fácil digerir necesidad pues poder ser buscar librería buscar pues libro poder ser difícil acceso económico
P5,en ventajas Pues es de gran ayuda para pues aquellos jóvenes que se les dificulta un poco socializar en persona con los demás brinda un espacio más accesible para conocer más gente y pues para hacer amistades en general en desventajas Es que muchos jóvenes no saben controlar como su Adicción al uso de las redes sociales y pues llegan a documentar cosas muy personales o pues que no deberían de estar en acceso para el público para ver.,ventaja pues gran ayuda pues aquel joven dificultar socializar persona demá brindo espacio accesible conocer gente pues hacer amistad general desventaja joven saber controlar adicción uso red social pues llegar documentar cosa personal pues deber acceso público ver
P6,el uso del internet para temas importantes pues es esencial pues hasta cierto punto el ocupar el internet para buscar información sobre temas que sean de alta relevancia sin embargo tenemos que estar al pendiente de que la información que nosotros consumimos o compartimos incluso sea verídica para no generar desinformación masiva.,uso internet tema importante pues esencial pues cierto punto ocupar internet buscar información tema alto relevancia embargo pendiente información consumimos compartir incluso verídico generar desinformación masivo
P7,el uso del celular Pues en las aulas Hasta cierto punto es positivo pues es una manera más actualizada y de pues generar y generar interés en los alumnos pero siempre que sea pues bajo algún tipo de control y regulaciones para no generar disruptividad en horarios de clases y.,uso celular pues aula cierto punto positivo pues manerar actualizado pues generar generar interés alumno siempre pues bajo alguno tipo control regulación generar disruptividad horario clás
P8,y pues las personas que utilizan su celular en lugares públicos Generalmente no representan una disruptividad para su entorno para las demás personas pues Generalmente están enfocados en lo suyo y pues no afectan su entorno ni el entorno los afecta a ellos .,pues persona utilizar celular lugar público generalmente representar disruptividad entorno demá persona pues generalmente enfocado pues afectar entorno entorno afectar
P9,Pues creo que depende más de la aplicación que se vaya a utilizar pero pues por lo general me resulta relativamente sencillo adaptarme a nuevas y en caso de No pues siempre está la accesibilidad al internet para pues familiarizarse y hacer lo más fácil .,pues creer depender aplicación vaya utilizar pues general resultar relativamente sencillo adaptarme nuevo caso pues siempre accesibilidad internet pues familiarizar él hacer fácil
P10,considero Pues que la tecnología es muy importante y juega un papel esencial para la resolución de problemas cotidianos pues hasta cierto punto se ha vuelto parte de nosotros para pues resolver dudas problemas que surjan pues nuestro día a día y es bueno es bueno.,considerar pues tecnología importante jugar papel esencial resolución problema cotidiano pues cierto punto volver parte pues resolver duda problema surgir pues día día bueno bueno
P1,opino que son muy útiles porque  nos ayudan a comunicarnos más fácilmente entre todos .,opino útil ayudar comunicarno fácilmente
P2,pienso que la gente pasa mucho tiempo en redes sociales porque se entretienen mucho a veces.,pensar gente pasar tiempo red social entretener vez
P3,el teléfono me ayuda a registrar varias cosas que tengo que hacer y a comunicarme más fácilmente y a distraerte,teléfono ayuda registrar varios cosa hacer comunicarme fácilmente distraerte
P4,me siento satisfecha con estas plataformas porque me ayudan a estudiar más fácilmente para los exámenes .,sentir satisfecho plataforma ayudar estudiar fácilmente examen
P5,las redes sociales entre los jóvenes tienen muchas ventajas y desventajas porque a veces pueden ser o adictivas o a veces pueden ser muy útiles depende el uso que le de la persona .,red social joven mucho ventaja desventaja vez poder ser adictiva vez poder ser útil depender uso persón
P6,opino que el Internet es muy útil para informarse sobre temas importantes porque así estás informado de todo lo que pasa y las complicaciones que existen en el mundo.,opino internet útil informar él tema importante así informado pasar complicación existir mundo
P7,opino que el uso del celular es muy útil pero a la vez muy distrayente.,opino uso celular útil vez distrayente
P8,pues las personas principalmente ocupan el teléfono para comunicarse en público O también para para enviar mensajes y eso y también depende del uso también de que les dé a veces puede ser muy inseguro usar el celular porque te lo pueden robar.,pues persona principalmente ocupar teléfono comunicar él público enviar mensaje depender uso dar vez poder ser inseguro usar celular poder robar
P9,a veces algunas aplicaciones están algo confusas pero si lo practicas casi a diario se puede te puedes adoptar fácilmente.,vez aplicación confuso si practica casi diario poder poder adoptar fácilmente
P10,Considero que es muy útil porque me ayuda a resolver muchos problemas que a veces me surgen pero también me distrae mucho pero pues sirve.,considerar útil ayuda resolver problema vez surgir distrae pues servir
P1,son muy útiles para conectarnos con los demás Así como saber sobre noticias que ocurren en nuestro entorno y poder decidir sobre lo que hacemos en esas situaciones .,útil conectarno demá así saber noticia ocurrir entorno poder decidir hacer situación
P2,muy excesivo porque te desconecto del mundo real y puedes estar en peligro aunque tú no te des cuenta .,excesivo desconecto mundo real poder peligrar aunque des cuenta
P3,muy útil Porque te permite usar de forma más fácil una alarma o un calendario y poder agendarte desde en tus actividades diarias.,útil permitir usar forma fácil alarma calendario poder agendarte actividad diario
P4,muy satisfecho porque te dan una noción diferente de lo que es el tema que estás investigando .,satisfecho dar noción diferente tema investigar
P5,ventaja pues es el conocer diferentes temas o culturas que son de interés y la desventaja es que hay temas que no se deberían de tocar o ver en ese en ese aspecto.,ventaja pues conocer diferente tema cultura interés desventajar tema deber tocar ver aspecto
P6,ayuda mucho y facilita la recolección de información en cuanto tiempo y forma .,ayuda facilitar recolección información cuanto tiempo formar
P7,Depende si es para temas de investigación Sí y si es para distracción tal vez si no.,depender si temar investigación si distracción tal vez si
P8,son muy abiertos a su privacidad y están expuestos a diferentes riesgos Que corran en cuanto al mundo real.,abierto privacidad expuesto diferente riesgo corran cuanto mundo real
P9,en un punto medio Porque dependiendo de la tecnología y del enfoque Sería más fácil o difícil para mí adaptarme.,punto medio depender tecnología enfoque fácil difícil adaptarme
P10,muy útil para todo en cuanto a informarse crear cosas y fomentar ideas así como obtener más información sobre algunos temas es buena muy útil.,útil cuanto informar él crear cosa fomentar idea así obtener información tema buen útil
P1,para mí el uso de las redes sociales en la vida diaria ha sido un motor para impulsar la interconectividad entre personas porque gracias a ellas Pues he podido conocer a personas que están a kilómetros de distancia muy muy considerables.,uso red social vida diario sedar motor impulsar interconectividad persona gracias pues podido conocer persona kilómetro distancia considerable
P2,realmente la cantidad de tiempo que la gente pasa en redes sociales es demasiado debido a que a los algoritmos con los que están programados este tipo de redes sociales pues es para que las personas pasen el mayor tiempo posible en ellas Bien lo dijo en algún punto Un conocido sí o de alguna empresa que competían más con las horas de sueño que con otras plataformas.,realmente cantidad tiempo gente pasar red social demasiado debido algoritmos programado tipo red social pues persona par mayor tiempo posible bien decir alguno punto conocido alguno empresa competir hora sueño plataforma
P3,pues es realmente bastante útil ya que me permite realizar bastantes actividades que incluso antes pues no Se podrían no en épocas pasadas porque básicamente el llevar un celular en el bolsillo es como llevar una computadora pues hacer cálculos puedes hacer una llamada o un mensaje y con esto puedes estar conectado con las demás personas.,pues realmente bastante útil permitir realizar bastante actividad incluso pues poder época pasado básicamente llevar celular bolsillo llevar computadora pues hacer cálculo poder hacer llamado mensaje poder conectar demás persona
P4,me encuentro realmente satisfecho ya que gracias a esto he podido escalar el grado de conocimiento que tengo en algunos temas y gracias a ello también he podido aplicar estos temas En diversas áreas que antes imaginaba que no podía Entonces sí ha sido realmente un impulso en mi educación el poder aprender de plataformas digitales y de esta manera ir apoyándome en mi carrera Universitaria.,encontrar realmente satisfecho gracias poder escalar grado conocimiento tema gracias él poder aplicar tema diverso área imaginar poder entonces ser realmente impulso educación poder aprender plataforma digital manera ir apoyándome carrera universitario
P5,en este ámbito veo un equilibrio ya que aquí va a depender mucho del uso que tú le des a las redes sociales ya que puede ser que a través de ellas busques algún trabajo busques no sé algún interés en común para poder compartir con alguien más O puede que también caigas en el otro extremo No mucho se habló de este tiempo de lo que fue el reclutamiento de personas que no terminó de la mejor manera entonces aquí creo que más que ventajas y desventajas sería el saber discernir entre lo que es bueno y malo y aprender a con propio criterio a diferenciar lo que es verdad de lo que no de lo que se dice en las redes sociales.,ámbito ver equilibrio aquí ir depender uso des red social poder ser través busqu alguno trabajo busqu saber alguno interés común poder compartir alguien poder caiga extremo hablar tiempo reclutamiento persona terminar mejor manera entonces aquí creer ventaja desventaja saber discernir bueno malo aprender propio criterio diferenciar verdad decir red social
P6,Es una herramienta bastante Es una herramienta bastante útil pero también como es así de útil tenemos que aprender a diferenciar lo que es verdad de lo que no porque muchas veces se habla de las fake news entonces algunas veces sí va a ser realmente verás Lo que se está diciendo pero otras va a ser completamente diferente entonces no Simplemente nos debemos quedar con una sola fuente de información sino ir indagando y al final crear una opinión propia.,herramientar bastante herramientar bastante útil así útil aprender diferenciar verdad mucho vez hablar fake news entonces vez ir ser realmente verá decir ir ser completamente diferente entonces simplemente deber quedar solo fuente información sino ir indagar final crear opinión propio
P7,personalmente me ha ayudado bastante pero Considero que también ha sido una gran distracción ya que muchas veces paso demasiado tiempo en mi teléfono que me logro desconcentrar de las actividades primordiales que tengo en el día Cómo hacer mis tareas o repasar temas durante la estancia en la escuela.,personalmente ayudado bastante considero ser gran distracción mucho vez pasar demasiado tiempo teléfono logro desconcentrar actividad primordial día cómo hacer tarea repasar tema estancia escuelo
P8,Considero que el uso de un teléfono móvil en espacios públicos lugares públicos Debería ser un poco más restringido y más cuidadoso ya que requiere el estar en un espacio así de nuestra atención y el móvil también exige un poco de nuestra atención entonces puede que en algún momento nos caigamos tropecemos Incluso un carro un automóvil una moto no llegue a atropellar Y eso podría causar daños irreversibles en nosotros .,considerar uso teléfono móvil espacio público lugar público deber ser restringir cuidadoso requerir espacio así atención móvil exigir atención entonces poder alguno momento caer tropecer incluso carro automóvil moto llegar atropellar poder causar daño irreversible
P9,realmente me resulta bastante fácil e intuitivo ya que por la experiencia que tengo en ramas de este tipo pues se me ha ido facilitando más entonces si surge alguna aplicación alguna tecnología me gusta indagar y empaparme del conocimiento para sacarle el mayor provecho a esta tecnología.,realmente resultar bastante fácil intuitivo experiencia rama tipo pues ido facilitar entonces si surgir alguno aplicación alguno tecnología gusto indagar empaparme conocimiento sacar él mayor provecho tecnologío
P10,resulta realmente muy útil pero también debemos aprender a separar la información y a comprobar todo por nosotros mismos es decir no fiarnos de todo lo que se nos dice sino que a través de nuestra propia experiencia ir comprobando si realmente esto funciona o no Entonces sí es realmente útil pero también podemos ir indagando un poco más en otras áreas.,resultar realmente útil deber aprender separar información comprobar mismo decir fiarno decir sino través propio experiencia ir comprobar si realmente funcionar entonces realmente útil poder ir indagar área
